timestamp,intersection_id,vehicle_count,average_speed_kmh,pedestrian_count,emergency_vehicle_count,signal_state,weather_condition,queue_length_meters,congestion_level,intersection_approach,traffic_density,day_of_week,signal_duration,historical_congestion
2024-01-01 00:00:00,B1,27.0,72.74,6.0,0.0,red,clear,37.0,low,B1_North,0.7105263157894737,Monday,38.0,low
2024-01-01 00:00:00,B1,32.0,72.74,6.0,0.0,red,clear,41.0,low,B1_South,0.7619047619047619,Monday,130.0,low
2024-01-01 00:00:00,B1,45.0,72.74,6.0,0.0,red,clear,85.0,low,B1_East,0.5232558139534884,Monday,233.0,medium
2024-01-01 00:00:00,B1,24.0,72.74,6.0,0.0,red,clear,60.0,low,B1_West,0.3934426229508196,Monday,240.0,medium
2024-01-01 00:01:00,B2,17.0,51.63,16.0,0.0,red,clear,69.0,low,B2_North,0.2428571428571428,Monday,23.0,high
2024-01-01 00:01:00,B2,17.0,51.63,16.0,0.0,red,clear,79.0,low,B2_South,0.2125,Monday,39.0,medium
2024-01-01 00:01:00,B2,14.0,51.63,16.0,0.0,red,clear,47.0,low,B2_East,0.2916666666666667,Monday,154.0,low
2024-01-01 00:01:00,B2,7.0,51.63,16.0,0.0,red,clear,12.0,low,B2_West,0.5384615384615384,Monday,254.0,medium
2024-01-01 00:02:00,A3,42.0,53.16,9.0,0.0,green,clear,59.0,high,A3_North,0.7,Monday,249.0,medium
2024-01-01 00:02:00,A3,6.0,53.16,9.0,0.0,green,clear,16.0,high,A3_South,0.3529411764705882,Monday,129.0,medium
2024-01-01 00:02:00,A3,49.0,53.16,9.0,0.0,green,clear,31.0,high,A3_East,1.53125,Monday,99.0,medium
2024-01-01 00:02:00,A3,21.0,53.16,9.0,0.0,green,clear,54.0,high,A3_West,0.3818181818181818,Monday,36.0,low
2024-01-01 00:03:00,B2,12.0,52.91,10.0,0.0,red,clear,46.0,low,B2_North,0.2553191489361702,Monday,84.0,high
2024-01-01 00:03:00,B2,22.0,52.91,10.0,0.0,red,clear,61.0,low,B2_South,0.3548387096774194,Monday,251.0,medium
2024-01-01 00:03:00,B2,28.0,52.91,10.0,0.0,red,clear,21.0,low,B2_East,1.2727272727272727,Monday,200.0,high
2024-01-01 00:03:00,B2,0.0,52.91,10.0,0.0,red,clear,28.0,low,B2_West,0.0,Monday,181.0,medium
