Frame,Number_of_Vehicles,Average_Speed_km/h,Traffic_Density,Queue_Length_meters,Emergency_Vehicles
frame_0000.jpg,24,0,7.233796,6.1,no
frame_0025.jpg,25,149.43,7.535204,6.11,no
frame_0050.jpg,26,153.08,7.836613,6.24,no
frame_0075.jpg,24,215.16,7.233796,6.39,no
frame_0100.jpg,31,240.6,9.343654,6.73,no
frame_0125.jpg,35,228.96,10.549286,6.96,no
frame_0150.jpg,26,209.81,7.836613,7.16,no
frame_0175.jpg,29,188.07,8.740837,7.2,no
frame_0200.jpg,33,212.09,9.94647,7.7,no
frame_0225.jpg,34,211.22,10.247878,7.89,no
frame_0250.jpg,30,174.85,9.042245,8.11,no
frame_0275.jpg,27,193.39,8.138021,7.93,no
frame_0300.jpg,28,173.28,8.439429,7.85,no
frame_0325.jpg,29,195.03,8.740837,7.68,no
frame_0350.jpg,29,181.83,8.740837,8.27,no
frame_0375.jpg,21,253.55,6.329572,8.23,no
frame_0400.jpg,20,129.62,6.028164,6.84,no
frame_0425.jpg,19,167.09,5.726755,5.99,no
frame_0450.jpg,18,156.1,5.425347,6.92,yes
frame_0475.jpg,20,158.18,6.028164,6.62,no
frame_0500.jpg,19,138.72,5.726755,7.2,no
frame_0525.jpg,17,186.24,5.123939,5.18,no
frame_0550.jpg,17,131.99,5.123939,4.65,no
frame_0575.jpg,17,155.72,5.123939,4.7,no
